transaction_id,transaction_date,transaction_time,account_id,account_name,account_type,account_owner,description,category,subcategory,amount,transaction_type,balance_after,is_recurring,recurring_frequency,notes
TXN-7BE30CE69D89,2024-01-06,08:27:06,ACC-USER2-CHK,User2 Checking,Checking,User2,Panera Bread,Dining,Restaurants,-25.14,Expense,1774.86,False,,
TXN-75E76DCBB93D,2024-01-06,12:58:46,ACC-USER1-CHK,User1 Checking,Checking,User1,BP,Transportation,Gas,-46.64,Expense,-3053.8,False,,
TXN-15AC91885C94,2024-01-06,21:01:02,ACC-USER2-CHK,User2 Checking,Checking,User2,McDonald's,Dining,Fast Food,-14.68,Expense,1760.18,False,,
TXN-87600929E816,2024-01-07,07:11:50,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Transfer to User1 Checking,Transfer,Personal Spending Allowance,-358.75,Transfer,145269.87,True,Biweekly,
TXN-A93CFB53BF3D,2024-01-07,11:35:04,ACC-USER1-CHK,User1 Checking,Checking,User1,Transfer from Joint Checking,Transfer,Personal Spending Allowance,358.75,Transfer,-4959.7,True,Biweekly,
TXN-A2E668B69983,2024-01-07,15:10:04,ACC-USER2-CHK,User2 Checking,Checking,User2,Instacart,Dining,Delivery,-28.46,Expense,1700.77,False,,
TXN-807C3F7029F8,2024-01-07,16:04:15,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Buffalo Wild Wings,Dining,Restaurants,-32.02,Expense,151433.09,False,,
TXN-64F40017F95C,2024-01-07,17:40:39,ACC-JOINT-CHK,Joint Checking,Checking,Joint,City Water Dept,Utilities,Water/Sewer,-81.49,Expense,168645.41,True,Monthly,
TXN-3D350703FEFB,2024-01-07,17:45:56,ACC-USER1-CHK,User1 Checking,Checking,User1,Five Guys,Dining,Restaurants,-59.1,Expense,2140.9,False,,
TXN-1E005E3C2E7F,2024-01-07,18:08:13,ACC-USER1-CHK,User1 Checking,Checking,User1,Amazon.com,Shopping,Online Shopping,-95.54,Expense,-4126.35,False,,
TXN-A57BF91D08E5,2024-01-08,10:58:16,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Transfer to User2 Checking,Transfer,Personal Spending Allowance,-407.5,Transfer,144862.37,True,Biweekly,
TXN-D74991B5EDDA,2024-01-08,13:24:28,ACC-USER2-CHK,User2 Checking,Checking,User2,Transfer from Joint Checking,Transfer,Personal Spending Allowance,407.5,Transfer,-5811.5,True,Biweekly,
TXN-B531A5E30CEB,2024-01-08,17:41:41,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Netflix,Entertainment,Streaming,-15.99,Expense,213240.91,True,Monthly,
TXN-0B3032DB783A,2024-01-08,20:14:47,ACC-USER2-CHK,User2 Checking,Checking,User2,Audible,Subscriptions,Various,-14.95,Expense,-5238.79,True,Monthly,
TXN-1C007551D8D5,2024-01-09,11:44:18,ACC-USER2-CHK,User2 Checking,Checking,User2,Red Robin,Dining,Restaurants,-48.54,Expense,1652.23,False,,
TXN-A1853CB4E45E,2024-01-09,17:06:57,ACC-USER1-CHK,User1 Checking,Checking,User1,Subway,Dining,Fast Food,-12.55,Expense,1942.59,False,,
TXN-F4A2FA265F13,2024-01-10,08:39:55,ACC-USER1-CHK,User1 Checking,Checking,User1,iCloud Storage,Subscriptions,Various,-2.99,Expense,-4558.56,True,Monthly,
TXN-6F480EF852D1,2024-01-10,14:15:50,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Comcast Internet,Utilities,Internet,-80,Expense,214676.9,True,Monthly,
TXN-ED964E912DA3,2024-01-10,18:08:05,ACC-USER1-CHK,User1 Checking,Checking,User1,Instacart,Dining,Delivery,-58.83,Expense,1883.76,False,,
TXN-671EEDDB9A7E,2024-01-10,18:16:29,ACC-USER1-CHK,User1 Checking,Checking,User1,Cheesecake Factory,Dining,Restaurants,-63.55,Expense,2051.58,False,,
TXN-81FF903BE0F0,2024-01-11,16:51:22,ACC-USER1-CHK,User1 Checking,Checking,User1,Wendy's,Dining,Fast Food,-10.69,Expense,1955.14,False,,
TXN-E8416A942126,2024-01-12,08:03:25,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Spotify Family,Entertainment,Streaming,-16.99,Expense,213223.92,True,Monthly,
TXN-C8F781AE33F6,2024-01-12,13:23:14,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Salary - ABC Company,Salary,User2,3785.69,Income,121516.01,True,Biweekly,
TXN-8F83162893EB,2024-01-14,13:35:20,ACC-USER2-CHK,User2 Checking,Checking,User2,Chevron,Transportation,Gas,-76.52,Expense,-3211.42,False,,
TXN-4F8F56D9D52D,2024-01-14,20:30:06,ACC-USER1-CHK,User1 Checking,Checking,User1,Panera Bread,Dining,Restaurants,-69.04,Expense,1982.54,False,,
TXN-23287EE5DA2B,2024-01-14,21:38:47,ACC-USER1-CHK,User1 Checking,Checking,User1,Taco Bell,Dining,Fast Food,-16.71,Expense,1965.83,False,,
TXN-7F31E1A6A075,2024-01-15,09:38:38,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Publix,Groceries,Supermarket,-150.3,Expense,164378.29,False,,
TXN-1FEC9EFDA570,2024-01-15,10:06:06,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Auto Loan - Chase,Transportation,Car Payment,-425,Expense,214111.9,True,Monthly,
TXN-95E31A605CE2,2024-01-15,12:43:47,ACC-USER2-CHK,User2 Checking,Checking,User2,Wendy's,Dining,Fast Food,-13.56,Expense,1630.28,False,,
TXN-276C1C430604,2024-01-15,14:43:13,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Electric Company,Utilities,Electric,-162.8,Expense,168805.46,True,Monthly,
TXN-92DAE0F47E7A,2024-01-15,14:51:26,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Verizon Wireless - Family Plan,Utilities,Phone,-140,Expense,214536.9,True,Monthly,
TXN-765D0D13FC51,2024-01-15,17:35:24,ACC-USER2-CHK,User2 Checking,Checking,User2,Peloton App,Subscriptions,Various,-12.99,Expense,-5251.78,True,Monthly,
TXN-11D607E3049C,2024-01-17,19:34:56,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Red Robin,Dining,Restaurants,-70.34,Expense,151362.75,False,,
TXN-F6FA5016FA42,2024-01-17,20:10:16,ACC-USER1-CHK,User1 Checking,Checking,User1,Five Guys,Dining,Restaurants,-52.4,Expense,1831.36,False,,
TXN-67CAEB7B872F,2024-01-18,12:58:39,ACC-USER2-CHK,User2 Checking,Checking,User2,DoorDash,Dining,Delivery,-38.32,Expense,1591.96,False,,
TXN-74AB9E194B11,2024-01-18,18:21:51,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Disney+,Entertainment,Streaming,-13.99,Expense,213209.93,True,Monthly,
TXN-76698EC619AF,2024-01-18,20:43:46,ACC-USER1-CHK,User1 Checking,Checking,User1,McDonald's,Dining,Fast Food,-18.31,Expense,1786.26,False,,
TXN-369F5390D01A,2024-01-19,08:43:14,ACC-USER1-CHK,User1 Checking,Checking,User1,Instacart,Dining,Delivery,-31.22,Expense,1755.04,False,,
TXN-FFA2CCCB6370,2024-01-19,08:43:47,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Salary - ACME Corporation,Salary,User1,4144.64,Income,16872.53,True,Biweekly,
TXN-BB4F0D7D6192,2024-01-20,08:50:25,ACC-USER2-CHK,User2 Checking,Checking,User2,Taco Bell,Dining,Fast Food,-8.39,Expense,1643.84,False,,
TXN-60B4F0D7FC61,2024-01-20,10:32:50,ACC-USER2-CHK,User2 Checking,Checking,User2,Adobe Creative Cloud,Subscriptions,Various,-54.99,Expense,-5306.77,True,Monthly,
TXN-5D1E5F767E09,2024-01-20,17:27:22,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Geico Auto Insurance,Transportation,Car Insurance,-185,Expense,213926.9,True,Monthly,
TXN-4AF47DF53375,2024-01-20,19:47:10,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Gas Utility,Utilities,Gas,-78.56,Expense,168726.9,True,Monthly,
TXN-FBF4F3586779,2024-01-21,13:20:01,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Transfer to User1 Checking,Transfer,Personal Spending Allowance,-413.02,Transfer,144449.35,True,Biweekly,
TXN-847113CDCE80,2024-01-21,13:43:07,ACC-USER1-CHK,User1 Checking,Checking,User1,Transfer from Joint Checking,Transfer,Personal Spending Allowance,413.02,Transfer,-4546.68,True,Biweekly,
TXN-53AAAF65F875,2024-01-21,18:55:21,ACC-USER1-CHK,User1 Checking,Checking,User1,Buffalo Wild Wings,Dining,Restaurants,-26.79,Expense,1804.57,False,,
TXN-817A43C1A97A,2024-01-21,19:44:39,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Mobil,Transportation,Gas,-59.21,Expense,148366.41,False,,
TXN-EFACD9437C74,2024-01-22,07:44:23,ACC-USER2-CHK,User2 Checking,Checking,User2,Panda Express,Dining,Fast Food,-12.61,Expense,1579.35,False,,
TXN-67A343329B47,2024-01-22,08:48:47,ACC-USER2-CHK,User2 Checking,Checking,User2,Transfer from Joint Checking,Transfer,Personal Spending Allowance,403.48,Transfer,-5408.02,True,Biweekly,
TXN-F2A7FB90866A,2024-01-22,09:19:06,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Safeway,Groceries,Supermarket,-148.89,Expense,164229.4,False,,
TXN-FEE81A88BBE0,2024-01-22,13:29:23,ACC-USER1-CHK,User1 Checking,Checking,User1,Subway,Dining,Fast Food,-9.35,Expense,1700.64,False,,
TXN-E6B96CBB6B9E,2024-01-22,17:46:39,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Transfer to User2 Checking,Transfer,Personal Spending Allowance,-403.48,Transfer,144045.87,True,Biweekly,
TXN-784F3B92F1A8,2024-01-25,08:43:23,ACC-USER1-CHK,User1 Checking,Checking,User1,Instacart,Dining,Delivery,-26.73,Expense,1660.96,False,,
TXN-044E5D0DD4A3,2024-01-25,20:46:03,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Student Loan Payment - Navient,Debt,Student Loan,-350,Expense,213256.9,True,Monthly,
TXN-080ABE967A11,2024-01-26,09:36:37,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Circle K,Transportation,Gas,-75.5,Expense,148290.91,False,,
TXN-65ED1DE885CA,2024-01-26,15:31:05,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Direct Deposit - ABC Company,Salary,User2,3899.47,Income,125415.48,True,Biweekly,
TXN-41AFB376147C,2024-01-27,07:19:31,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Red Robin,Dining,Restaurants,-73.58,Expense,151289.17,False,,
TXN-A79D62003D54,2024-01-27,16:03:42,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Amazon.com,Shopping,Online Shopping,-115.47,Expense,147451.34,False,,
TXN-84D4E29E8E97,2024-01-27,21:26:41,ACC-USER1-CHK,User1 Checking,Checking,User1,Taco Bell,Dining,Fast Food,-12.95,Expense,1687.69,False,,
TXN-E88BDE2E9EC4,2024-01-27,21:44:19,ACC-USER1-CHK,User1 Checking,Checking,User1,Olive Garden,Dining,Restaurants,-45.05,Expense,1709.99,False,,
TXN-07C96FB8931C,2024-01-28,08:13:32,ACC-JOINT-SAV,Joint Savings,Savings,Joint,Interest Payment,Interest,Savings,102.3,Interest,31102.3,True,Monthly,
TXN-6C45033194BC,2024-01-28,13:50:21,ACC-USER1-SAV,User1 Savings,Savings,User1,Interest Payment,Interest,Savings,47.52,Interest,14447.52,True,Monthly,
TXN-D03FC0A7E4C4,2024-01-28,18:12:04,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Target,Groceries,Supermarket,-198.43,Expense,164030.97,False,,
TXN-F356B2238A8B,2024-01-28,19:35:39,ACC-USER2-SAV,User2 Savings,Savings,User2,Interest Payment,Interest,Savings,33.99,Interest,10333.99,True,Monthly,
TXN-7AD5D08D5147,2024-01-29,07:03:50,ACC-USER2-CHK,User2 Checking,Checking,User2,Outback Steakhouse,Dining,Restaurants,-44.71,Expense,1534.64,False,,
TXN-C1C8CE90A49A,2024-01-29,20:52:29,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Red Robin,Dining,Restaurants,-64.83,Expense,151224.34,False,,
TXN-E2CDCF04DA57,2024-01-30,12:49:09,ACC-USER1-CHK,User1 Checking,Checking,User1,Subway,Dining,Fast Food,-10.24,Expense,1650.72,False,,
TXN-AC7D32D03BF2,2024-01-30,14:28:49,ACC-USER1-CHK,User1 Checking,Checking,User1,Taco Bell,Dining,Fast Food,-13.69,Expense,1588.75,False,,
TXN-6B63D103C302,2024-01-31,10:04:53,ACC-USER2-CHK,User2 Checking,Checking,User2,Outback Steakhouse,Dining,Restaurants,-25.61,Expense,1509.03,False,,
TXN-FD06209E6352,2024-02-01,07:59:24,ACC-USER1-CHK,User1 Checking,Checking,User1,Gym Membership,Subscriptions,Various,-45,Expense,-4668.55,True,Monthly,
TXN-5D8F54B2FBC7,2024-02-01,08:03:41,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Health Insurance - Blue Cross,Healthcare,Insurance Premium,-320,Expense,209584.93,True,Monthly,
TXN-28416D4F5E45,2024-02-01,10:12:34,ACC-JOINT-CHK,Joint Checking,Checking,Joint,HOA Monthly Dues,Housing,HOA Fees,-150,Expense,210859.93,True,Monthly,
TXN-DA459D722226,2024-02-01,20:06:15,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Mortgage Payment - Wells Fargo,Housing,Mortgage/Rent,-2200,Expense,211009.93,True,Monthly,
TXN-435C2A7AA4EA,2024-02-02,11:38:05,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Transfer to Joint Savings,Transfer,Monthly Savings Goal,-500,Transfer,143545.87,True,Monthly,
TXN-8BA5AC904C51,2024-02-02,11:48:59,ACC-JOINT-SAV,Joint Savings,Savings,Joint,Transfer from Joint Checking,Transfer,Monthly Savings Goal,500,Transfer,26000.0,True,Monthly,
TXN-AB3F67C3A036,2024-02-02,16:02:46,ACC-JOINT-CHK,Joint Checking,Checking,Joint,DoorDash,Dining,Delivery,-44.18,Expense,151180.16,False,,
TXN-22E383798516,2024-02-02,16:27:02,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Payroll Deposit - ACME Corp,Salary,User1,4278.44,Income,21150.97,True,Biweekly,
TXN-2B553447BAC6,2024-02-02,19:06:50,ACC-USER2-CHK,User2 Checking,Checking,User2,Chevron,Transportation,Gas,-43.0,Expense,-3254.42,False,,
TXN-57B545000399,2024-02-04,07:30:54,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Grubhub,Dining,Delivery,-43.97,Expense,151136.19,False,,
TXN-68E52BFC58E3,2024-02-04,09:00:22,ACC-USER1-CHK,User1 Checking,Checking,User1,Chick-fil-A,Dining,Fast Food,-18.68,Expense,1615.37,False,,
TXN-94AF09D58FF5,2024-02-04,09:16:03,ACC-USER1-CHK,User1 Checking,Checking,User1,Subway,Dining,Fast Food,-12.93,Expense,1602.44,False,,
TXN-F2022712A533,2024-02-04,09:34:16,ACC-USER1-CHK,User1 Checking,Checking,User1,Starbucks,Dining,Fast Food,-16.67,Expense,1634.05,False,,
TXN-F061F11C57B8,2024-02-04,14:24:07,ACC-USER1-CHK,User1 Checking,Checking,User1,Amazon,Shopping,Household Items,-191.8,Expense,-4318.15,False,,
TXN-4C9A543E65A9,2024-02-04,17:42:31,ACC-USER1-CHK,User1 Checking,Checking,User1,ATM Fee - Out of Network,Fees,Bank/ATM,-3.5,Fee,1790.88,False,,
TXN-3BDF4CEFBDB3,2024-02-05,08:02:00,ACC-USER1-SAV,User1 Savings,Savings,User1,Transfer from User1 Checking,Transfer,Automatic Savings,200,Transfer,12400.0,True,Monthly,
TXN-120D25C99141,2024-02-05,14:08:27,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Homeowners Insurance - State Farm,Housing,Home Insurance,-125,Expense,210734.93,True,Monthly,
TXN-9F0A1FEBD375,2024-02-05,15:35:05,ACC-USER2-SAV,User2 Savings,Savings,User2,Transfer from User2 Checking,Transfer,Automatic Savings,150,Transfer,8800.0,True,Monthly,
TXN-0E9132C2EF2F,2024-02-05,16:38:25,ACC-USER2-CHK,User2 Checking,Checking,User2,Transfer to User2 Savings,Transfer,Automatic Savings,-150,Transfer,-4858.14,True,Monthly,
TXN-10C0562E5E3D,2024-02-05,18:47:23,ACC-JOINT-CHK,Joint Checking,Checking,Joint,DoorDash,Dining,Delivery,-56.74,Expense,151007.61,False,,
TXN-4A9E6B5BD650,2024-02-05,19:19:54,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Kroger,Groceries,Supermarket,-236.75,Expense,163794.22,False,,
TXN-E48719C5D7D1,2024-02-05,19:51:44,ACC-USER1-CHK,User1 Checking,Checking,User1,NYT Digital Subscription,Subscriptions,Various,-17,Expense,-4620.56,True,Monthly,
TXN-12CD16C8B933,2024-02-05,20:35:09,ACC-USER1-CHK,User1 Checking,Checking,User1,Transfer to User1 Savings,Transfer,Automatic Savings,-200,Transfer,-4148.34,True,Monthly,
TXN-BE7F68975872,2024-02-06,14:39:54,ACC-JOINT-CHK,Joint Checking,Checking,Joint,City Water Dept,Utilities,Water/Sewer,-82.65,Expense,168240.45,True,Monthly,
TXN-24615A2AD16D,2024-02-07,07:30:10,ACC-USER1-CHK,User1 Checking,Checking,User1,Transfer from Joint Checking,Transfer,Personal Spending Allowance,393.77,Transfer,-4352.91,True,Biweekly,
TXN-051FE5A654E4,2024-02-07,11:39:40,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Cheesecake Factory,Dining,Restaurants,-71.84,Expense,151064.35,False,,
TXN-C1A179F81A93,2024-02-07,13:41:31,ACC-USER1-CHK,User1 Checking,Checking,User1,Speedway,Transportation,Gas,-44.88,Expense,-3098.68,False,,
TXN-6387DBE656BB,2024-02-07,13:52:42,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Transfer to User1 Checking,Transfer,Personal Spending Allowance,-393.77,Transfer,143152.1,True,Biweekly,
TXN-3334D6A46A65,2024-02-08,08:57:05,ACC-USER1-CHK,User1 Checking,Checking,User1,Olive Garden,Dining,Restaurants,-53.04,Expense,1535.71,False,,
TXN-8ACABAD28EE5,2024-02-08,08:59:48,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Netflix,Entertainment,Streaming,-15.99,Expense,209218.94,True,Monthly,
TXN-7903435CA4DF,2024-02-08,09:47:25,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Transfer to User2 Checking,Transfer,Personal Spending Allowance,-403.35,Transfer,142748.75,True,Biweekly,
TXN-98E4E3DC75FF,2024-02-08,12:27:20,ACC-USER1-CHK,User1 Checking,Checking,User1,Taco Bell,Dining,Fast Food,-15.01,Expense,1446.22,False,,
TXN-15C9401D368C,2024-02-08,13:26:50,ACC-USER2-CHK,User2 Checking,Checking,User2,Audible,Subscriptions,Various,-14.95,Expense,-5321.72,True,Monthly,
TXN-D46E29AE229D,2024-02-08,19:51:54,ACC-USER2-CHK,User2 Checking,Checking,User2,Transfer from Joint Checking,Transfer,Personal Spending Allowance,403.35,Transfer,-5154.67,True,Biweekly,
TXN-8AA2A113EAA8,2024-02-09,09:40:10,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Direct Deposit - ABC Company,Salary,User2,3851.16,Income,129266.64,True,Biweekly,
TXN-06DACE310B85,2024-02-09,16:33:18,ACC-USER1-CHK,User1 Checking,Checking,User1,Five Guys,Dining,Restaurants,-40.83,Expense,1494.88,False,,
TXN-C0B468C5038D,2024-02-09,20:41:41,ACC-USER1-CHK,User1 Checking,Checking,User1,Taco Bell,Dining,Fast Food,-18.81,Expense,1476.07,False,,
TXN-E89A5099179E,2024-02-10,09:17:29,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Comcast Internet,Utilities,Internet,-80,Expense,210654.93,True,Monthly,
TXN-A3FFB3D049CB,2024-02-10,11:44:42,ACC-USER1-CHK,User1 Checking,Checking,User1,iCloud Storage,Subscriptions,Various,-2.99,Expense,-4623.55,True,Monthly,
TXN-8116ED9AC940,2024-02-10,13:42:06,ACC-USER1-CHK,User1 Checking,Checking,User1,Amazon.com,Shopping,Household Items,-57.43,Expense,-4375.58,False,,
TXN-56C15A5C2EA7,2024-02-10,13:42:23,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Whole Foods,Groceries,Supermarket,-204.86,Expense,163589.36,False,,
TXN-9338165F5602,2024-02-10,17:59:30,ACC-USER1-CHK,User1 Checking,Checking,User1,Wendy's,Dining,Fast Food,-15.51,Expense,1430.71,False,,
TXN-76F5C21980BA,2024-02-10,20:26:52,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Costco,Groceries,Warehouse,-331.75,Expense,163257.61,False,,
TXN-CD376C41F415,2024-02-11,13:21:52,ACC-USER1-CHK,User1 Checking,Checking,User1,Subway,Dining,Fast Food,-14.84,Expense,1461.23,False,,
TXN-C561F41AEE51,2024-02-12,08:36:32,ACC-USER2-CHK,User2 Checking,Checking,User2,Wendy's,Dining,Fast Food,-12.8,Expense,1387.94,False,,
TXN-FF52059DB89E,2024-02-12,19:27:55,ACC-USER2-CHK,User2 Checking,Checking,User2,Red Robin,Dining,Restaurants,-60.55,Expense,1400.74,False,,
TXN-FA839A33B360,2024-02-12,20:15:10,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Spotify Family,Entertainment,Streaming,-16.99,Expense,209201.95,True,Monthly,
TXN-2889DD639303,2024-02-13,20:06:22,ACC-USER1-CHK,User1 Checking,Checking,User1,Chick-fil-A,Dining,Fast Food,-12.12,Expense,1418.59,False,,
TXN-FFC53E445155,2024-02-14,10:09:01,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Gas Utility,Utilities,Gas,-129.78,Expense,168323.1,True,Monthly,
TXN-B78D466CA4DE,2024-02-15,07:11:17,ACC-USER2-CHK,User2 Checking,Checking,User2,Starbucks,Dining,Fast Food,-12.69,Expense,1356.63,False,,
TXN-C6EEBBECB111,2024-02-15,08:28:51,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Auto Loan - Chase,Transportation,Car Payment,-425,Expense,210089.93,True,Monthly,
TXN-FA1CCA944A8B,2024-02-15,10:55:59,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Verizon Wireless - Family Plan,Utilities,Phone,-140,Expense,210514.93,True,Monthly,
TXN-2D899BB5E189,2024-02-15,17:20:35,ACC-USER2-CHK,User2 Checking,Checking,User2,Peloton App,Subscriptions,Various,-12.99,Expense,-5334.71,True,Monthly,
TXN-204793111D7B,2024-02-15,19:15:43,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Electric Company,Utilities,Electric,-192.53,Expense,168452.88,True,Monthly,
TXN-07AB9E09AC93,2024-02-16,10:32:38,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Payroll Deposit - ACME Corp,Salary,User1,4105.96,Income,25256.93,True,Biweekly,
TXN-935490C55282,2024-02-16,13:09:39,ACC-USER1-CHK,User1 Checking,Checking,User1,Valero,Transportation,Gas,-78.5,Expense,-3177.18,False,,
TXN-144074A85B76,2024-02-16,14:47:12,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Oil Change - Jiffy Lube,Transportation,Maintenance,-65,Expense,121074.69,False,,
TXN-B182169F95F2,2024-02-16,15:21:42,ACC-USER2-CHK,User2 Checking,Checking,User2,Chipotle,Dining,Restaurants,-47.74,Expense,1461.29,False,,
TXN-46A5554C1941,2024-02-16,17:01:05,ACC-USER2-CHK,User2 Checking,Checking,User2,Instacart,Dining,Delivery,-57.56,Expense,1290.13,False,,
TXN-AAFC4D46A96F,2024-02-16,21:11:44,ACC-JOINT-CHK,Joint Checking,Checking,Joint,Rite Aid,Healthcare,Pharmacy,-24.85,Expense,146849.7,False,,
TXN-71D1E67B6906,2024-02-17,07:11:55,ACC-USER2-CHK,User2 Checking,Checking,User2,Wendy's,Dining,Fast Food,-8.94,Expense,1347.69,False,,
